,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
61,Dave Cockrum,3,0,0,3,3
60,Chris Claremont,3,0,0,3,3
164,Fall People,3,0,0,3,3
174,Garokk,3,1,0,4,4
180,Amahl Farouk,3,2,0,5,5
198,Heather McNeil,3,0,1,3,4
322,Kurt Wagner (Earth-811),3,0,0,3,3
320,Charles Xavier (Earth-811),3,0,1,3,4
306,Sentinel Omega Class (Earth-811),3,1,0,4,4
305,Ororo Munroe (Earth-811),3,2,0,5,5
304,Piotr Rasputin (Earth-811),3,2,0,5,5
302,James Howlett (Earth-811),3,2,0,5,5
288,Namor McKenzie,3,1,0,4,4
358,Ronald Reagan,3,0,4,3,7
361,Margaret Thatcher,3,0,3,3,6
256,B'nee and C'cil,3,0,0,3,3
252,Edwin Jarvis,3,0,0,3,3
251,Sara Grey,3,0,1,3,4
227,Theresa Pryde,3,2,8,5,13
226,Carmen Pryde,3,2,8,5,13
204,Maelen,3,0,0,3,3
52,Elisabeth Wilford,3,0,0,3,3
134,Vril-Rokk,3,2,0,5,5
11,John Proudstar,3,3,7,6,13
439,Yukio,3,0,3,3,6
19,Luchino Nefaria,3,1,1,4,5
1372,Ringtoss (Earth-TRN304),2,0,0,2,2
918,Westchester County Police Department,2,0,1,2,3
1583,Niamh Chinn Óir,2,0,0,2,2
207,Alexei Vazhin (Android),2,0,0,2,2
961,Sheila Ramsey,2,0,1,2,3
960,Philip Ramsey,2,0,1,2,3
959,Analie Hogarth,2,0,0,2,2
953,Odin Borson,2,0,7,2,9
936,Shellbot,2,0,0,2,2
935,Lexi,2,0,0,2,2
931,Ray (Gladiators),2,0,0,2,2
898,Lucinda Guthrie,2,1,4,3,7
914,Da Costa International,2,0,1,2,3
1020,Roberto Da Costa (Earth-87050),2,0,1,2,3
895,Axe (Mutant),2,0,0,2,2
891,Georgianna Castleberry,2,0,0,2,2
890,Leonard Hebb,2,0,0,2,2
889,James McDonald,2,0,0,2,2
888,Marauder,2,0,0,2,2
1584,Desmond Pitt,2,0,0,2,2
28,North American Aerospace Defense Command,2,0,0,2,2
1019,Arbitrators (Earth-87050),2,0,1,2,3
1051,Frederick Animus,2,2,0,4,4
1021,Amara Aquilla (Earth-87050),2,0,1,2,3
878,Sentinels Mk V,2,2,0,4,4
1075,Einherjar,2,0,3,2,5
185,Moses Magnum,2,1,0,3,3
1071,Wong,2,0,0,2,2
1070,Trista,2,0,0,2,2
1069,Toko,2,0,0,2,2
1068,Timothy (Inferno Baby),2,0,0,2,2
1067,Shauna,2,0,0,2,2
1066,Russell (Inferno Baby),2,0,0,2,2
1065,Maw (Inferno Baby),2,0,0,2,2
1064,Face (Inferno Baby),2,0,0,2,2
1063,Bob (Inferno Baby),2,0,0,2,2
1062,Alex (Inferno Baby),2,0,0,2,2
189,Jean-Paul Beaubier,2,2,0,4,4
192,Walter Langkowski,2,1,0,3,3
193,Jeanne-Marie Beaubier,2,1,0,3,3
194,Pierre Trudeau,2,0,0,2,2
195,Terry Austin,2,0,0,2,2
1054,Dupen'th,2,0,0,2,2
1569,Shelby Montrobe,2,0,0,2,2
879,Craig Sinclair,2,1,2,3,5
864,P!rai,2,0,0,2,2
866,Elizabeth Braddock (War Skrull),2,0,0,2,2
780,Hand,2,0,2,2,4
771,Stuart Haydn,2,0,0,2,2
22,Henry Hawk,2,1,0,3,3
760,Shanna O'Hara,2,0,1,2,3
292,Georges Baptiste,2,0,0,2,2
756,Whiteout,2,0,0,2,2
293,Eileen Parnall,2,0,0,2,2
21,Gordon Keefer,2,1,0,3,3
730,Sentinels Mk VI,2,1,0,3,3
20,Ani-Men,2,1,1,3,4
726,Victor Milan,2,0,0,2,2
725,Lewis Shiner,2,0,0,2,2
724,Melinda Snodgrass,2,0,0,2,2
723,George Martin,2,0,0,2,2
722,M-Squad,2,0,1,2,3
18,Lieutenant General Fredricks,2,0,1,2,3
318,Scott Summers (Earth-811),2,0,2,2,4
703,Hannah Conover,2,0,0,2,2
702,William Conover,2,0,0,2,2
693,Brickbat,2,0,0,2,2
23,Townshend Horgan,2,1,0,3,3
783,Li Fong (Mandarin),2,0,0,2,2
1371,Ferro² (Earth-TRN299),2,0,0,2,2
787,Rose Wu,2,0,1,2,3
857,Yuri Semyanov,2,0,0,2,2
1589,Arianna Jankos,2,0,0,2,2
1591,Department K,2,0,3,2,5
254,Gailyn Bailey,2,0,1,2,3
255,Joseph Bailey,2,0,1,2,3
25,Francois Le Blanc,2,1,0,3,3
258,Hussar,2,0,0,2,2
